Kd_Prov;Provinsi;Total_Panjang;Mantap_km;Mantap_%;TMantap_km;TMantap_%
11;ACEH;2.112,07;2.026,34;95,94;85,73;4,06
12;SUMATERA UTARA;2.619,52;2.513,42;95,95;106,10;4,05
13;SUMATERA BARAT;1.423,40;1.305,42;91,71;117,98;8,29
14;RIAU;1.254,18;1.192,56;95,09;61,62;4,91
15;JAMBI;1.318,95;1.252,54;94,96;66,41;5,04
16;SUMATERA SELATAN;1.580,70;1.536,00;97,17;44,70;2,83
17;BENGKULU;782,01;716,90;91,67;65,11;8,33
18;LAMPUNG;1.298,41;1.217,29;93,75;81,12;6,25
19;KEPULAUAN BANGKA BELITUNG;598,65;598,05;99,90;0,60;0,10
21;KEPULAUAN RIAU;429,66;429,09;99,87;0,57;0,13
32;JAWA BARAT;1.782,59;1.755,35;98,47;27,24;1,53
33;JAWA TENGAH;1.581,45;1.528,57;96,66;52,88;3,34
34;D.I. YOGYAKARTA;307,24;302,96;98,61;4,28;1,39
35;JAWA TIMUR;2.261,83;2.207,07;97,58;54,76;2,42
36;BANTEN;567,90;554,68;97,67;13,22;2,33
51;BALI;589,65;584,57;99,14;5,08;0,86
52;NUSA TENGGARA BARAT;939,68;929,98;98,97;9,70;1,03
53;NUSA TENGGARA TIMUR;2.153,26;2.068,96;96,09;84,30;3,91
61;KALIMANTAN BARAT;2.287,53;2.232,29;97,59;55,24;2,41
62;KALIMANTAN TENGAH;2.094,32;1.902,76;90,85;191,56;9,15
63;KALIMANTAN SELATAN;1.204,21;1.168,67;97,05;35,54;2,95
64;KALIMANTAN TIMUR;1.806,78;1.620,58;89,69;186,20;10,31
65;KALIMANTAN UTARA;643,51;625,08;97,14;18,43;2,86
71;SULAWESI UTARA;1.682,45;1.669,82;99,25;12,63;0,75
72;SULAWESI TENGAH;2.361,62;2.299,83;97,38;61,79;2,62
73;SULAWESI SELATAN;1.739,60;1.710,26;98,31;29,34;1,69
74;SULAWESI TENGGARA;1.490,84;1.459,44;97,89;31,40;2,11
75;GORONTALO;751,80;730,87;97,22;20,93;2,78
76;SULAWESI BARAT;768,18;734,27;95,59;33,91;4,41
81;MALUKU;1.850,22;1.786,48;96,56;63,74;3,44
82;MALUKU UTARA;1.208,52;1.137,99;94,16;70,53;5,84
91;PAPUA;918,81;811,14;88,28;107,67;11,72
92;PAPUA BARAT;1.335,29;1.162,53;87,06;172,76;12,94
93;PAPUA SELATAN;568,47;500,08;87,97;68,39;12,03
94;PAPUA TENGAH;696,56;626,44;89,93;70,12;10,07
95;PAPUA PEGUNUNGAN;594,57;428,65;72,09;165,92;27,91
;INDONESIA;47.604,43;45.326,93;95,22;2.277,50;4,78
